IP,Risk_Score,CVSS_v4_Rating,User_Agents,Ports,Device_Types,HTTP_Methods,Location,Suspicious_URIs,Attack_Patterns,OWASP_Top_10,Total_Requests,Unique_URIs,ratio
127.85.164.239,100,10.0,HeapExploit|KernelPwn|PrivEscalate,"80,443,4444,5555",server,"GET,POST,PUT",North America,"/heap/corrupt,/kernel/exploit,/root/priv","Heap corruption, Kernel exploitation, Root escalation","A1:Broken Access Control, A3:Injection, A4:Insecure Design",112,48,"2,3"
162.187.235.104,100,10.0,SupplyChainKit|CICDExploit|BuildInject,"80,443,8081,8082",server,"GET,POST,PUT",North America,"/npm/package,/jenkins/script,/gitlab/ci","Supply chain attack, CI/CD compromise, Build injection","A1:Broken Access Control, A3:Injection, A8:Software and Data Integrity Failures",108,46,"2,3"
172.235.84.159,100,10.0,ServiceAbuse|InfraTakeover|DomainHijack,"80,443,8153,8154",server,"GET,POST,PUT",North America,"/dns/takeover,/domain/hijack,/service/exploit","DNS takeover, Domain hijacking, Service exploitation","A1:Broken Access Control, A4:Insecure Design, A9:Security Monitoring Failures",115,49,"2,3"
194.237.82.156,95,9.9,MemoryCorrupt|StackSmash|BufferFlow,"80,443,3333,4444","server,desktop","GET,POST,OPTIONS",Europe,"/memory/spray,/stack/overflow,/buffer/exploit","Memory spraying, Stack overflow, Buffer exploitation","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",108,45,"2,4"
202.206.239.71,100,9.9,ZeroDayKit|VulnResearch|ExploitDev,"80,443,9001,9002",server,"GET,POST,PUT",Asia,"/CVE-2024/poc,/vuln/test,/0day/exploit","Zero-day research, Vulnerability testing, Exploit development","A3:Injection, A4:Insecure Design, A8:Software and Data Integrity Failures",99,41,"2,4"
219.156.84.173,95,9.9,PackagePwn|PipelineExploit|RepoInject,"80,443,9081,9082","server,desktop","GET,POST,HEAD",Asia Pacific,"/pip/module,/github/action,/maven/deploy","Package poisoning, Pipeline exploit, Repository injection","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",95,42,"2,3"
83.196.124.178,95,9.9,DNSPoison|CDNBypass|ProxyAbuse,"80,443,7153,7154","server,desktop","GET,POST,HEAD",Europe,"/dns/poison,/cdn/bypass,/proxy/abuse","DNS poisoning, CDN manipulation, Proxy exploitation","A3:Injection, A5:Security Misconfiguration, A8:Software and Data Integrity Failures",108,46,"2,3"
185.73.124.158,95,9.8,POCDevelop|VulnTest|ExploitKit,"80,443,8001,8002","server,desktop","GET,POST,OPTIONS",Europe,"/research/vuln,/debug/test,/exploit/poc","Vulnerability research, Debug testing, POC development","A1:Broken Access Control, A3:Injection, A5:Security Misconfiguration",96,43,"2,2"
218.192.234.156,98,9.8,"sqlmap/1.6,Acunetix Scanner,Custom Tool","80,443,8080,22,3306",server,"GET,POST,PUT,DELETE",Multiple,"/admin/shell.php,/etc/passwd,/.env","CRITICAL_PATH_ACCESS,SYSTEM_ACCESS_ATTEMPT,CRITICAL_INJECTION","A01:2021-Broken Access Control,A03:2021-Injection",1234,256,"4,8"
219.147.92.163,95,9.8,LoadBalancer|WAFBypass|CachePoison,"80,443,6153,6154",server,"GET,POST,OPTIONS",Asia Pacific,"/lb/exploit,/waf/bypass,/cache/poison","Load balancer abuse, WAF bypass, Cache poisoning","A1:Broken Access Control, A4:Insecure Design, A5:Security Misconfiguration",97,42,"2,3"
